document_id,contract_year,cola_strict,cola_broad
4391,2021,0,0
4145,2019,0,0
4515,2022,0,0
237,2000,0,0
667,2003,0,0
1982,2012,0,0
3116,2009,0,0
2642,2003,0,1
2143,2015,0,0
2840,2002,0,0
1780,2013,0,0
2905,,0,0
1153,2004,0,0
3928,2021,0,1
1915,2006,0,0
2114,2014,0,0
2051,2010,0,0
3139,1998,0,0
1104,2010,0,0
131,,0,0
1041,2008,0,0
1684,2001,0,0
1391,2019,0,0
577,2003,0,0
90,1994,1,1
432,2003,1,1
598,2002,0,0
1779,2014,0,0
3314,2007,0,0
2505,,0,0
609,2002,0,0
873,2000,0,0
3482,,0,0
1515,2001,0,0
520,2003,0,0
465,2011,0,0
4015,2017,0,0
222,,1,1
737,2007,0,0
4150,2021,0,0
2987,2004,0,0
367,2002,0,0
2657,2003,0,1
808,2005,0,0
1997,2010,0,0
3103,2004,0,0
275,2001,0,0
3338,2003,0,0
1305,2011,0,0
330,2004,1,1
3912,2021,0,0
4384,,0,0
3504,,0,0
1313,2019,0,0
1190,2008,0,0
1939,2007,0,0
3841,2021,0,0
849,2004,0,0
3142,2005,0,0
234,1989,0,1
4003,2016,0,0
1201,2019,0,0
2092,2014,0,1
2138,2014,0,0
1344,2019,0,0
3729,2021,1,1
3545,2013,0,0
1981,2010,0,0
45,2010,0,1
2773,,0,0
869,,0,0
490,2007,0,0
3498,2007,0,0
3532,2016,0,0
3027,2004,0,0
3477,,0,0
1919,2008,0,0
3924,2022,0,0
756,2004,0,0
1763,2008,0,0
613,2008,0,0
243,2014,0,0
1108,2004,0,0
2661,2007,0,0
3359,2002,0,0
701,2004,0,1
214,2002,0,1
3820,2022,0,0
982,2003,0,0
347,2008,0,1
1372,2019,0,0
2948,2002,0,1
1237,2002,0,1
4035,2020,0,0
3524,2015,0,0
3318,2005,0,0
310,2000,1,1
740,2002,0,0
605,2006,0,0
1974,2011,0,0
1427,2011,0,0
412,2001,0,0
1098,2009,0,0
557,2002,0,0
1132,2019,0,0
3226,2004,0,0
2964,,0,0
2067,2014,0,1
2088,2013,0,0
691,2003,0,1
1165,2003,0,0
3508,2014,0,0
500,,0,0
3621,2019,0,0
3334,2005,0,0
3908,2022,0,0
516,,0,0
1870,2012,0,0
3267,,0,0
2163,2016,0,0
280,2011,0,0
1431,1996,0,0
2708,,0,0
3549,,0,0
3230,2004,0,1
687,2006,0,0
2134,2012,0,0
3231,,0,0
2836,,0,0
1349,1997,0,0
2709,,0,0
48,2004,0,1
3548,2013,0,1
4059,,0,0
794,2005,0,0
2924,2009,0,0
3323,2003,0,0
281,2009,0,0
1488,2002,0,0
1172,2003,0,0
844,2001,0,0
2031,2005,0,0
782,2001,0,0
3270,2003,0,0
2898,2004,0,0
278,2004,0,0
2877,2001,0,0
1021,2003,0,0
1888,2006,0,0
852,2002,0,0
2066,,0,0
2123,2011,0,0
3362,2009,0,0
1975,2014,0,0
940,2004,0,1
413,,0,0
1261,2005,0,1
3525,2013,0,0
487,2008,0,0
25,2010,1,1
2764,2009,0,0
891,2004,0,0
2271,2017,0,0
2621,,0,0
3460,2002,0,0
4521,,0,0
829,2004,0,0
3964,2017,0,0
2119,2013,0,0
3358,2004,0,0
4537,,0,0
700,2005,0,0
4022,2019,0,0
1220,2006,0,0
645,2004,0,1
3837,2019,0,0
2660,,0,0
429,2000,0,0
3071,2000,0,1
242,,1,1
2772,,0,0
3163,2004,0,0
3499,2007,0,0
3533,,0,0
1918,1996,0,0
887,2005,0,0
2640,2001,0,1
3051,,0,0
1129,2017,0,1
2586,2019,0,0
1345,2003,0,0
3682,2019,0,0
720,2001,0,0
1892,2015,0,0
2752,,0,0
2928,2007,0,0
2882,2005,0,0
1884,,0,0
3440,2005,1,1
1187,2003,0,0
1492,2002,0,0
274,2001,0,0
331,2001,1,1
761,,0,0
3293,2005,0,0
3417,2003,0,1
1979,2011,0,0
1216,2019,0,0
223,1998,0,0
4014,2020,0,0
736,2005,0,0
1703,2004,0,0
1847,2001,0,0
29,,0,0
1514,2001,0,0
521,2004,0,0
464,2002,0,0
1451,2015,0,0
1902,2007,0,0
4080,2018,1,1
1778,2013,0,0
2857,2002,0,0
1328,2000,0,0
2912,,0,0
1797,2007,0,0
1955,2011,0,0
2553,,0,0
2103,2016,0,0
4192,,0,0
3657,2000,0,0
